Date,Price,sma,diff,threshold,signal,change,pnl
7/3/2022,38024.80,40442.197,-0.06,0.06,0,-0.009850767,0
8/3/2022,38744.80,40395.498,-0.04,0.06,0,0.018935011,0
9/3/2022,41929.00,40399.782,0.04,0.06,0,0.082183932,0
10/3/2022,39416.30,40359.248,-0.02,0.06,0,-0.059927496,0
11/3/2022,38730.20,40307.548,-0.04,0.06,0,-0.017406504,0
12/3/2022,38814.30,40242.233,-0.04,0.06,0,0.002171432,0
03/13/2022,37792.40,40140.423,-0.06,0.06,0,-0.026327926,0
03/14/2022,39671.10,40092.275,-0.01,0.06,0,0.049711053,0
03/15/2022,39285.70,40029.148,-0.02,0.06,0,-0.009714881,0
03/16/2022,41118.70,39996.177,0.03,0.06,0,0.046658199,0
03/17/2022,40914.80,39960.105,0.02,0.06,0,-0.004958814,0
03/18/2022,41767.80,39952.747,0.05,0.06,0,0.020848202,0
03/19/2022,42233.00,39950.553,0.06,0.06,0,0.011137766,0
03/20/2022,41276.00,39943.857,0.03,0.06,0,-0.022660005,0
03/21/2022,41022.00,39948.958,0.03,0.06,0,-0.006153697,0
03/22/2022,42373.00,40047.25,0.06,0.06,0,0.032933548,0
03/23/2022,42912.00,40177.863,0.07,0.06,1,0.012720364,0
03/24/2022,44013.00,40306.922,0.09,0.06,1,0.025657159,0.025657
03/25/2022,44331.00,40434.333,0.10,0.06,1,0.007225138,0.007225
03/26/2022,44548.00,40560.957,0.10,0.06,1,0.004894994,0.004895
03/27/2022,46859.00,40728.6,0.15,0.06,1,0.051876627,0.051877
03/28/2022,47105.00,40894.278,0.15,0.06,1,0.005249792,0.00525
03/29/2022,47449.00,41056.01,0.16,0.06,1,0.007302834,0.007303
03/30/2022,47075.00,41204.413,0.14,0.06,1,-0.007882147,-0.00788
03/31/2022,45525.00,41331.202,0.10,0.06,1,-0.032926182,-0.03293
1/4/2022,46297.00,41461.175,0.12,0.06,1,0.016957716,0.016958
2/4/2022,45811.00,41579.53,0.10,0.06,1,-0.01049744,-0.0105
3/4/2022,46407.00,41738.143,0.11,0.06,1,0.013009976,0.01301
4/4/2022,46629.00,41893.83,0.11,0.06,1,0.004783761,0.004784
5/4/2022,45506.00,41959.47,0.08,0.06,1,-0.024083725,-0.02408
6/4/2022,43173.00,41988.818,0.03,0.06,0,-0.051267965,-0.05127
7/4/2022,43448.00,42006.415,0.03,0.06,0,0.006369722,0
8/4/2022,42275.00,41980.433,0.01,0.06,0,-0.02699779,0
9/4/2022,42767.00,41959.247,0.02,0.06,0,0.011638084,0
10/4/2022,42138.00,41921.732,0.01,0.06,0,-0.014707602,0
11/4/2022,39497.00,41854.665,-0.06,0.06,0,-0.06267502,0
12/4/2022,40078.00,41816.158,-0.04,0.06,0,0.014709978,0
04/13/2022,41133.00,41798.288,-0.02,0.06,0,0.026323669,0
04/14/2022,39936.00,41762.87,-0.04,0.06,0,-0.029100722,0
04/15/2022,40560.00,41729.698,-0.03,0.06,0,0.015625,0
04/16/2022,40382.00,41660.325,-0.03,0.06,0,-0.00438856,0
04/17/2022,39703.00,41590.648,-0.05,0.06,0,-0.016814422,0
04/18/2022,40803.00,41594.818,-0.02,0.06,0,0.027705715,0
04/19/2022,41503.00,41619.867,0.00,0.06,0,0.017155601,0
04/20/2022,41368.00,41641.162,-0.01,0.06,0,-0.003252777,0
04/21/2022,40482.00,41676.612,-0.03,0.06,0,-0.021417521,0
04/22/2022,39709.00,41721.467,-0.05,0.06,0,-0.019094906,0
04/23/2022,39418.00,41740.963,-0.06,0.06,0,-0.007328313,0
04/24/2022,39464.00,41778.287,-0.06,0.06,0,0.00116698,0
04/25/2022,40427.00,41813.083,-0.03,0.06,0,0.024401987,0
04/26/2022,38113.00,41794.807,-0.09,0.06,0,-0.057238974,0
04/27/2022,39243.00,41796.932,-0.06,0.06,0,0.029648676,0
04/28/2022,39748.00,41831.247,-0.05,0.06,0,0.012868537,0
04/29/2022,38581.00,41754.46,-0.08,0.06,0,-0.029359968,0
04/30/2022,37650.00,41641.622,-0.10,0.06,0,-0.024131049,0
1/5/2022,38461.00,41550.758,-0.07,0.06,0,0.021540505,0
2/5/2022,38514.00,41484.942,-0.07,0.06,0,0.001378019,0
3/5/2022,37718.00,41461.197,-0.09,0.06,0,-0.020667809,0
4/5/2022,39688.00,41466.067,-0.04,0.06,0,0.052229705,0
5/5/2022,36544.00,41435.082,-0.12,0.06,0,-0.0792179,0
6/5/2022,36009.00,41401.485,-0.13,0.06,0,-0.014639886,0
7/5/2022,35468.00,41346.872,-0.14,0.06,0,-0.015024022,0
8/5/2022,34060.00,41215.722,-0.17,0.06,0,-0.039697756,0
9/5/2022,30095.00,41060.367,-0.27,0.06,0,-0.116412214,0
10/5/2022,31007.50,40931.655,-0.24,0.06,0,0.030320651,0
11/5/2022,29068.20,40769.22,-0.29,0.06,0,-0.062542933,0
12/5/2022,28976.00,40622.28,-0.29,0.06,0,-0.003171851,0
05/13/2022,29284.40,40449.168,-0.28,0.06,0,0.010643291,0
05/14/2022,30080.40,40295.747,-0.25,0.06,0,0.027181708,0
05/15/2022,31308.70,40132.247,-0.22,0.06,0,0.040833898,0
05/16/2022,29849.00,39947.817,-0.25,0.06,0,-0.046622824,0
05/17/2022,30437.50,39758.978,-0.23,0.06,0,0.019715903,0
05/18/2022,28683.70,39533.157,-0.27,0.06,0,-0.057619713,0
05/19/2022,30305.90,39350.322,-0.23,0.06,0,0.056554768,0
05/20/2022,29178.60,39152.932,-0.25,0.06,0,-0.037197377,0
05/21/2022,29434.60,38937.292,-0.24,0.06,0,0.008773553,0
05/22/2022,30286.60,38726.868,-0.22,0.06,0,0.028945527,0
05/23/2022,29093.30,38478.207,-0.24,0.06,0,-0.039400263,0
05/24/2022,29648.70,38233.502,-0.22,0.06,0,0.019090306,0
05/25/2022,29540.60,37983.378,-0.22,0.06,0,-0.003646028,0
05/26/2022,29203.50,37689.12,-0.23,0.06,0,-0.011411413,0
05/27/2022,28601.20,37380.723,-0.23,0.06,0,-0.02062424,0
05/28/2022,29027.10,37073.692,-0.22,0.06,0,0.014890984,0
05/29/2022,29465.20,36780.195,-0.20,0.06,0,0.015092793,0
05/30/2022,31723.30,36550.167,-0.13,0.06,0,0.076636167,0
05/31/2022,31793.40,36308.44,-0.12,0.06,0,0.002209732,0
1/6/2022,29798.50,36041.565,-0.17,0.06,0,-0.062745727,0
2/6/2022,30455.50,35775.707,-0.15,0.06,0,0.02204809,0
3/6/2022,29700.90,35493.572,-0.16,0.06,0,-0.024777134,0
4/6/2022,29864.30,35232.877,-0.15,0.06,0,0.005501517,0
5/6/2022,29913.00,35011.877,-0.15,0.06,0,0.00163071,0
6/6/2022,31367.60,34810.537,-0.10,0.06,0,0.048627687,0
7/6/2022,31128.80,34624.767,-0.10,0.06,0,-0.007612951,0
8/6/2022,30201.60,34415.343,-0.12,0.06,0,-0.029785922,0
9/6/2022,30097.80,34214.673,-0.12,0.06,0,-0.003436904,0
10/6/2022,29083.30,34041.112,-0.15,0.06,0,-0.033706783,0
11/6/2022,28403.40,33846.535,-0.16,0.06,0,-0.023377677,0
12/6/2022,26606.30,33604.423,-0.21,0.06,0,-0.063270594,0
06/13/2022,22448.00,33312.957,-0.33,0.06,0,-0.156290052,0
06/14/2022,22157.30,33006.245,-0.33,0.06,0,-0.012949929,0
06/15/2022,22577.90,32709.51,-0.31,0.06,0,0.018982457,0
06/16/2022,20386.60,32387.57,-0.37,0.06,0,-0.097055085,0
06/17/2022,20444.60,32048.263,-0.36,0.06,0,0.002845006,0
06/18/2022,18986.50,31672.988,-0.40,0.06,0,-0.071319566,0
06/19/2022,20577.20,31326.475,-0.34,0.06,0,0.083780581,0
06/20/2022,20572.30,30994.647,-0.34,0.06,0,-0.000238128,0
06/21/2022,20720.40,30678.17,-0.32,0.06,0,0.007199001,0
06/22/2022,19965.80,30353.967,-0.34,0.06,0,-0.036418216,0
06/23/2022,21100.70,30047.912,-0.30,0.06,0,0.0568422,0
